,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
52,Aditya Birla Gro...,4.2,(15.3k Reviews),"Mumbai,Maharashtra + 188 more",165,50k-1 Lakh Employees (India),
53,Fiserv,3.9,(1.4k Reviews),Private,"Brookfield,Wisconsin + 21 more",38,5k-10k Employees (India)
54,HDFC Sales,4.1,(1.4k Reviews),Private,"Mumbai,Maharashtra + 213 more",18,10k-50k Employees (India)
55,Cholamandalam MS...,4.0,(1.3k Reviews),JV,"Chennai,Tamil Nadu + 263 more",21,50k-1 Lakh Employees (India)
56,Exide Life Insur...,3.7,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 183 more",21,1k-5k Employees (India)
57,Societe Generale,3.9,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 13 more",22,1k-5k Employees (India)
58,Mahindra Rural H...,4.2,(1.3k Reviews),Public,"Mumbai,Maharashtra + 300 more",15,5k-10k Employees (India)
59,Shriram City,4.1,(1.2k Reviews),Public,"Chennai,Tamil Nadu + 344 more",36,10k-50k Employees (India)
60,Indiabulls,3.7,(3.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 141 more",22,10k-50k Employees (India)
61,Datamatics Globa...,3.6,(1.6k Reviews),Public,Mumbai + 22 more,47,1k-5k Employees (India)
62,State Street Cor...,3.8,(1.4k Reviews),Private,"Boston,Massachusetts + 12 more",230,10k-50k Employees (India)
63,Bharti AXA Life ...,3.9,(1.2k Reviews),Private,Mumbai + 193 more,16,5k-10k Employees (India)
64,Tata Motors Fina...,4.3,(1.2k Reviews),Private,"Mumbai,Maharashtra + 200 more",65,1k-5k Employees (India)
65,ICICI Securities,3.7,(1.2k Reviews),Public,"Mumbai,Maharashtra + 98 more",27,5k-10k Employees (India)
66,Future Generali ...,4.0,(1.1k Reviews),Private,Mumbai + 142 more,15,1k-5k Employees (India)
67,AXA Business Ser...,3.9,(1.1k Reviews),Private,Paris + 4 more,27,1k-5k Employees (India)
68,Barclays,4.2,(2.7k Reviews),Private,London + 21 more,332,10k-50k Employees (India)
69,Tata Capital Fin...,4.2,(1.1k Reviews),Public,Mumbai + 121 more,15,1k-5k Employees (India)
70,BA Continuum,4.4,(1.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",19,10k-50k Employees (India)
71,IDBI Bank,3.8,(2k Reviews),Public,"Mumbai,Maharashtra + 240 more",58,10k-50k Employees (India)
72,MetLife,4.4,(1.1k Reviews),Private,New York + 25 more,14,1k-5k Employees (India)
73,CMS Infosystems,3.8,(1.1k Reviews),Private,"Mumbai,Maharashtra + 126 more",14,5k-10k Employees (India)
74,Square Yards,3.0,(1.1k Reviews),Private,"Gurgaon,Haryana + 35 more",9,1k-5k Employees (India)
75,Bharat Financial...,4.2,(1k Reviews),Public,Hyderabad + 233 more,24,10k-50k Employees (India)
76,Canara HSBC Life...,3.8,(1k Reviews),Government,"Gurgaon/Gurugram,Haryana + 173 more",14,1k-5k Employees (India)
77,Aavas Financiers...,4.0,(1k Reviews),Public,"Jaipur,Rajasthan + 184 more",11,5k-10k Employees (India)
78,Northern Trust O...,4.2,(996 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 11 more",17,5k-10k Employees (India)
79,S&P Global,4.3,(994 Reviews),Public,"New York City,New York + 11 more",105,5k-10k Employees (India)
80,Reliance General...,3.8,(978 Reviews),Private,"Mumbai,Maharashtra + 133 more",22,5k-10k Employees (India)
81,Kotak Securities,3.8,(959 Reviews),Private,"Mumbai,Maharashtra + 94 more",28,5k-10k Employees (India)
82,Citibank,4.1,(958 Reviews),Private,"New York,New York + 42 more",210,10k-50k Employees (India)
83,Angel One,3.9,(954 Reviews),Mumbai + 102 more,5k-10k Employees (India),,
84,Bank of Baroda,3.8,(1.3k Reviews),Private,"Vadodara/Baroda,Gujrat + 167 more",114,10k-50k Employees (India)
85,Crisil,3.9,(938 Reviews),Public,"Mumbai,Maharashtra + 43 more",35,5k-10k Employees (India)
86,Care Health Insu...,3.9,(925 Reviews),Public,"Gurgaon,Haryana + 136 more",10,5k-10k Employees (India)
87,Ocwen Financial ...,4.2,(924 Reviews),Private,"West Palm Beach,Florida + 6 more",34,1k-5k Employees (India)
88,DBS Bank,3.9,(924 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 97 more",7,5k-10k Employees (India)
89,FactSet,4.0,(915 Reviews),Private,"Norwalk,Connecticut + 5 more",44,1k-5k Employees (India)
90,Vedantu,3.4,(913 Reviews),Private,"Bangalore,Karnataka + 47 more",11,5k-10k Employees (India)
91,Citicorp,3.8,(912 Reviews),Private,"Mumbai,Maharashtra + 18 more",25,10k-50k Employees (India)
92,HDFC Securities,3.7,(893 Reviews),Public,"Mumbai,Maharashtra + 143 more",22,1k-5k Employees (India)
93,Satin Creditcare...,4.2,(884 Reviews),Public,"Gurgaon/Gurugram,Haryana + 183 more",32,1k-5k Employees (India)
94,Hero FinCorp,4.3,(881 Reviews),Private,Delhi + 222 more,31,1k-5k Employees (India)
95,First American C...,4.0,(1.3k Reviews),Private,"Santa Ana,California + 10 more",133,1k-5k Employees (India)
96,Fincare Small Fi...,4.0,(868 Reviews),Bangalore + 211 more,15,5k-10k Employees (India),
97,Edelweiss,4.0,(959 Reviews),Public,"Mumbai,Maharashtra + 101 more",5,5k-10k Employees (India)
98,Motilal Oswal Fi...,3.7,(850 Reviews),Public,"Mumbai,Maharashtra + 89 more",35,5k-10k Employees (India)
99,Aditya Birla Cap...,4.1,(1.8k Reviews),Public,Mumbai + 145 more,15,10k-50k Employees (India)
100,Indiabulls Consu...,3.9,(820 Reviews),Public,"Mumbai,Maharashtra + 122 more",28,1k-5k Employees (India)
101,Indiabulls Home ...,4.0,(810 Reviews),"Gurgaon/Gurugram,Haryana + 105 more",17,5k-10k Employees (India),
102,XL Dynamics,3.9,(800 Reviews),Private,Navi Mumbai + 21 more,20,1k-5k Employees (India)
103,Oracle Financial...,3.8,(796 Reviews),Public,Mumbai + 13 more,32,50k-1 Lakh Employees (India)
104,PhonePe,4.2,(911 Reviews),Private,"Bangalore,Karnataka + 132 more",7,1k-5k Employees (India)
105,SBICAP Securitie...,3.8,(794 Reviews),Government,"Mumbai,Maharashtra + 145 more",16,5k-10k Employees (India)
106,Altisource,3.7,(793 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",15,1k-5k Employees (India)
107,SBI General Insu...,4.0,(788 Reviews),JV,"Mumbai,Maharashtra + 145 more",13,10k-50k Employees (India)
108,Paisabazaar.com,3.9,(781 Reviews),Private,"Gurgaon/Gurugram,Haryana + 6 more",8,1k-5k Employees (India)
109,Standard Charter...,4.0,(766 Reviews),Private,Chennai + 12 more,21,10k-50k Employees (India)
110,SS&C TECHNOLOGIE...,3.8,(1k Reviews),Private,"Windsor Locks,Connecticut + 12 more",36,5k-10k Employees (India)
111,Computer Age Man...,3.9,(759 Reviews),Private,"Chennai,Tamil Nadu + 69 more",34,1k-5k Employees (India)
112,Aadhar Housing F...,4.2,(758 Reviews),Private,"Mumbai,Maharashtra + 195 more",12,1k-5k Employees (India)
113,AGS Transact Tec...,3.7,(752 Reviews),Private,Mumbai + 86 more,20,10k-50k Employees (India)
114,Broadridge Finan...,4.0,(742 Reviews),Private,"New York City,New York + 5 more",15,1k-5k Employees (India)
115,Fino Payments Ba...,4.2,(740 Reviews),Private,"Mumbai,Maharashtra + 156 more",16,1k-5k Employees (India)
116,Allstate,4.3,(731 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 5 more",10,5k-10k Employees (India)
117,Bajaj Capital,3.9,(1k Reviews),Public,"Delhi/NCR,New Delhi + 115 more",58,1k-5k Employees (India)
118,Synchrony,4.4,(728 Reviews),Private,Stamford + 4 more,19,1k-5k Employees (India)
119,Max Bupa Health ...,3.9,(725 Reviews),Private,"Delhi/NCR,New Delhi + 112 more",14,5k-10k Employees (India)
120,Sahara India Par...,3.9,(1.2k Reviews),Private,"Lucknow,Uttar Pradesh + 186 more",44,5k-10k Employees (India)
121,Iffco Tokio Gene...,4.2,(721 Reviews),Private,"Gurgaon/Gurugram,Haryana + 166 more",22,1k-5k Employees (India)
122,Fidelity Nationa...,4.1,(4.1k Reviews),Private,"Jacksonville,Florida + 6 more",175,1k-5k Employees (India)
123,BNP Paribas,4.0,(1.6k Reviews),Private,Paris + 16 more,174,10k-50k Employees (India)
124,Aye Finance,4.4,(664 Reviews),Private,"Delhi,NCT + 164 more",9,1k-5k Employees (India)
125,Tata Capital,4.2,(1.8k Reviews),"Mumbai,Maharashtra + 110 more",15,5k-10k Employees (India),
126,ICICI Home Finan...,3.9,(652 Reviews),Private,"Mumbai,Maharashtra + 134 more",23,1k-5k Employees (India)
127,Karvy Stock Brok...,3.5,(652 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 98 more",32,1k-5k Employees (India)
128,Spandana Sphoort...,3.6,(626 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 179 more",24,5k-10k Employees (India)
129,Pine Labs,4.1,(625 Reviews),Private,"Noida,Uttar Pradesh + 58 more",24,1k-5k Employees (India)
130,Suryoday Small F...,3.9,(615 Reviews),Private,"Mumbai,Maharashtra + 106 more",14,1k-5k Employees (India)
131,Credit Suisse,4.0,(612 Reviews),Private,Zurich + 6 more,166,1k-5k Employees (India)
132,OM Logistics,4.1,(607 Reviews),Private,"Delhi/NCR,Delhi + 84 more",23,1k-5k Employees (India)
133,IndiaFirst Life ...,4.3,(600 Reviews),Government,"Mumbai,Maharashtra + 114 more",13,1k-5k Employees (India)
134,Paytm Payments B...,4.0,(600 Reviews),Public,"Noida,Uttar Pradesh + 78 more",6,1k-5k Employees (India)
135,Shriram Life Ins...,4.1,(597 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 169 more",17,50k-1 Lakh Employees (India)
136,Reliance Capital,4.0,(4.1k Reviews),Public,"Navi Mumbai,Maharashtra + 77 more",17,10k-50k Employees (India)
137,INDUSIND MARKETI...,4.2,(587 Reviews),Private,"Chennai,Tamil Nadu + 230 more",20,501-1k Employees (India)
138,Sundaram Finance,4.3,(574 Reviews),Public,"Chennai,Tamil Nadu + 168 more",68,1k-5k Employees (India)
139,Punjab National ...,4.0,(569 Reviews),Private,"Delhi/NCR,Delhi + 128 more",128,50k-1 Lakh Employees (India)
140,Indiabulls Ventu...,3.5,(564 Reviews),Public,"Mumbai,Maharashtra + 73 more",27,1k-5k Employees (India)
141,Morgan Stanley,4.1,(563 Reviews),Private,"New York,New York + 11 more",91,10k-50k Employees (India)
142,RBL FinServe,4.2,(560 Reviews),Private,"Mumbai,Maharashtra + 189 more",17,5k-10k Employees (India)
143,Mswipe Technolog...,3.1,(553 Reviews),Private,"Mumbai,Maharashtra + 69 more",11,1k-5k Employees (India)
144,Bank of India,3.9,(550 Reviews),Private,"Mumbai,Maharashtra + 128 more",116,50k-1 Lakh Employees (India)
145,Fidelity Investm...,4.3,(1.2k Reviews),Private,"Boston,Massachusetts + 7 more",76,5k-10k Employees (India)
146,Star Union Dai-i...,3.9,(539 Reviews),Government,"Navi Mumbai,Maharashtra + 119 more",13,1k-5k Employees (India)
147,Canara Bank,3.7,(1.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 106 more",116,50k-1 Lakh Employees (India)
148,IHS Markit,4.2,(517 Reviews),Private,London + 10 more,63,1k-5k Employees (India)
149,Shriram General ...,3.7,(508 Reviews),Private,"Jaipur,Rajasthan + 121 more",14,10k-50k Employees (India)
150,Ageas Federal Li...,3.7,(499 Reviews),Private,"Mumbai,Maharashtra + 101 more",14,501-1k Employees (India)
151,Karur Vysya Bank,3.7,(484 Reviews),Public,"Karur,Tamil Nadu + 88 more",106,5k-10k Employees (India)
152,Better.com,2.8,(482 Reviews),"New York City,New York + 2 more",6,201-500 Employees (India),
153,Allianz Technolo...,4.5,(476 Reviews),Munich + 6 more,132,1k-5k Employees (India),
154,Genpact Headstro...,4.0,(20.1k Reviews),Private,"New Delhi,New Delhi + 13 more",24,1k-5k Employees (India)
155,Bajaj Housing Fi...,4.0,(463 Reviews),Private,"Pune,Maharashtra + 90 more",14,1k-5k Employees (India)
156,Fusion Microfina...,4.2,(462 Reviews),Private,"Delhi,NCT + 130 more",12,5k-10k Employees (India)
157,Willis Towers Wa...,4.0,(653 Reviews),Private,London + 13 more,6,1k-5k Employees (India)
158,Defence Research...,4.4,(520 Reviews),Private,"Delhi/NCR,New Delhi + 32 more",64,10k-50k Employees (India)
159,Royal Sundaram G...,4.0,(459 Reviews),JV,"Chennai,Tamil Nadu + 77 more",21,1k-5k Employees (India)
160,Aditya Birla Hea...,4.0,(458 Reviews),Private,Mumbai + 97 more,7,1k-5k Employees (India)
161,Samasta Microfin...,4.1,(458 Reviews),Public,"Bangalore,Karnataka + 147 more",14,1k-5k Employees (India)
162,Airtel Payments ...,4.3,(456 Reviews),Public,"Delhi/NCR,New Delhi + 126 more",6,1k-5k Employees (India)
163,CSB Bank,3.4,(443 Reviews),Private,"Thrissur/Trichur,Kerala + 95 more",102,1k-5k Employees (India)
164,Gman Sachs,3.9,(500 Reviews),Private,"New York,New York + 10 more",19,10k-50k Employees (India)
165,ICICI Prudential...,4.0,(437 Reviews),JV,New Delhi + 106 more,29,1k-5k Employees (India)
166,Federal Bank,4.2,(732 Reviews),Public,"Aluva,Kerala + 86 more",91,10k-50k Employees (India)
167,Encore Capital G...,4.1,(422 Reviews),Private,"San Diego,California + 1 more",69,1k-5k Employees (India)
168,Morningstar,4.3,(420 Reviews),Private,"Chicago,Illinois + 7 more",38,1k-5k Employees (India)
169,nThrive Global S...,4.0,(420 Reviews),Private,Alpharetta + 6 more,19,501-1k Employees (India)
170,Hitachi Payment ...,4.1,(418 Reviews),Private,"Mumbai,Maharashtra + 24 more",14,1k-5k Employees (India)
171,Union Bank of In...,3.9,(413 Reviews),Public,"Mumbai,Maharashtra + 79 more",103,50k-1 Lakh Employees (India)
172,AuthBridge Resea...,3.6,(407 Reviews),Private,"Gurgaon,Haryana + 11 more",17,501-1k Employees (India)
173,Innodata Isogen,3.2,(402 Reviews),Private,"New Jersey,New Jersey + 6 more",25,1k-5k Employees (India)
174,Ameriprise Finan...,4.1,(395 Reviews),Private,"Minneapolis,Minnesota + 6 more",128,1k-5k Employees (India)
175,CreditAccess Gra...,4.4,(392 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 111 more",23,10k-50k Employees (India)
176,Incedo,4.0,(390 Reviews),Private,"Iselin,New Jersey + 7 more",11,1k-5k Employees (India)
177,Svatantra Microf...,4.4,(390 Reviews),Private,"Mumbai,Maharashtra + 145 more",10,1k-5k Employees (India)
178,Fino Paytech,4.2,(1.1k Reviews),"Mumbai,Maharashtra + 93 more",16,51-200 Employees (India),
179,Sun Life Financi...,4.4,(388 Reviews),Private,"Toronto,Ontario + 3 more",157,1k-5k Employees (India)
180,Mynd Solutions P...,3.9,(386 Reviews),Private,"Kelowna,British Columbia + 25 more",20,1k-5k Employees (India)
181,Geojit Financial...,4.0,(386 Reviews),Public,Kochi + 106 more,35,1k-5k Employees (India)
182,PayPal,4.2,(384 Reviews),Private,"San Jose,California + 7 more",24,5k-10k Employees (India)
183,Muthoot Microfin,4.3,(382 Reviews),Private,"Ernakulam,Kerala + 117 more",7,5k-10k Employees (India)
184,Franklin Templet...,4.3,(547 Reviews),Private,San Mateo + 13 more,75,1k-5k Employees (India)
185,Temenos,3.3,(378 Reviews),Private,"Geneva,Geneva + 5 more",29,1k-5k Employees (India)
186,Guardian India,4.2,(370 Reviews),Private,"York Way,London + 6 more",23,1k-5k Employees (India)
187,India Shelter Fi...,3.9,(369 Reviews),Private,"Gurgaon,Haryana + 92 more",12,1k-5k Employees (India)
188,Financial Softwa...,4.0,(367 Reviews),Private,Chennai + 22 more,31,1k-5k Employees (India)
189,City Union Bank,3.5,(363 Reviews),Public,"Thanjavur,Tamil Nadu + 86 more",118,1k-5k Employees (India)
190,MMC,4.0,(361 Reviews),Private,New York + 15 more,151,5k-10k Employees (India)
191,Bharti AXA Gener...,4.1,(353 Reviews),JV,Mumbai + 72 more,14,1k-5k Employees (India)
192,TIAA Global Busi...,4.4,(349 Reviews),Private,"Manhattan,New York + 3 more",104,1k-5k Employees (India)
193,MAS Financial Se...,3.7,(348 Reviews),Public,"Ahmedabad,Gujarat + 64 more",27,1k-5k Employees (India)
194,Nelito System,3.6,(347 Reviews),Private,Navi Mumbai + 27 more,27,1k-5k Employees (India)
195,Aditya Birla Fin...,4.1,(347 Reviews),Private,"Mumbai,Maharashtra + 58 more",10,10k-50k Employees (India)
196,MasterCard,4.3,(350 Reviews),Private,"Purchase,New York + 8 more",56,5k-10k Employees (India)
197,Stock Hing Co...,3.9,(334 Reviews),Public,"Mumbai,Maharashtra + 80 more",36,201-500 Employees (India)
198,Pamac Finserve,3.7,(332 Reviews),Private,"Mumbai,Maharashtra + 43 more",27,501-1k Employees (India)
199,Srei Equipment F...,4.5,(326 Reviews),Public,Kolkata + 73 more,33,1k-5k Employees (India)
200,BankBazaar,3.6,(342 Reviews),Private,"Chennai,Tamil Nadu + 8 more",14,501-1k Employees (India)
201,Karvy DigiKonnec...,3.2,(319 Reviews),Hyderabad + 16 more,7,10k-50k Employees (India),
202,NJ India Invest,3.8,(316 Reviews),Private,Surat + 61 more,28,1k-5k Employees (India)
203,Finastra,3.9,(311 Reviews),Private,"Toronto,Ontario + 10 more",5,1k-5k Employees (India)
204,Dhani Healthcare,3.5,(311 Reviews),Gurgaon/Gurugram + 64 more,1k-5k Employees (India),,
205,TCS eServe,3.8,(309 Reviews),Private,Mumbai + 29 more,15,50k-1 Lakh Employees (India)
206,Infrastructure L...,4.0,(308 Reviews),Private,Mumbai + 66 more,35,501-1k Employees (India)
207,LIC Housing Fina...,3.9,(306 Reviews),Public,"Mumbai,Maharashtra + 93 more",33,1k-5k Employees (India)
208,Descon Engineeri...,4.2,(304 Reviews),Private,Lahore + 17 more,45,201-500 Employees (India)
209,Xyz Company,3.7,(302 Reviews),Mumbai + 52 more,50k-1 Lakh Employees (India),,
