,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
1099,MGB,3.7,(36 Reviews),Private,"Mumbai,Maharashtra + 3 more",43,201-500 Employees (India)
1100,Krishi Rasayan G...,3.3,(36 Reviews),Private,Kolkata + 8 more,56,501-1k Employees (India)
1101,Servosys Solutio...,2.9,(36 Reviews),Gurgaon + 3 more,10,51-200 Employees (India),
1102,Countrywide Visa...,3.6,(36 Reviews),Private,"Delhi/NCR,New Delhi + 3 more",7,1-10 Employees (India)
1103,Laqshya Media,3.6,(36 Reviews),Private,Mumbai + 6 more,25,201-500 Employees (India)
1104,Luker Electric T...,4.0,(36 Reviews),Private,"Kochi,Kerala + 10 more",8,51-200 Employees (India)
1105,Apsara Silks,4.3,(36 Reviews),Bengaluru,14,,
1106,Aiplex Software,4.5,(36 Reviews),Private,"Bangalore/Bengaluru,Karnataka",19,1 Lakh+ Employees (India)
1107,India Steel Summ...,4.4,(36 Reviews),Greater Noida + 1 more,16,51-200 Employees (India),
1108,Luna Bearings,2.6,(36 Reviews),Private,"Mumbai,Maharashtra + 5 more",42,201-500 Employees (India)
1109,Solenis,3.9,(36 Reviews),Private,"Wilmington,Delaware + 4 more",115,51-200 Employees (India)
1110,Western India Tr...,2.9,(36 Reviews),Private,Navi Mumbai + 12 more,11,51-200 Employees (India)
1111,Roha Housing Fin...,4.6,(36 Reviews),Indore + 14 more,51-200 Employees (India),,
1112,Mentor home loan...,3.1,(36 Reviews),Private,"Jaipur,Rajasthan + 10 more",27,51-200 Employees (India)
1113,UnlistedGuru,5.0,(36 Reviews),LLP,"Mumbai,Maharashtra",1,51-200 Employees (India)
1114,Gepl Capital,2.9,(35 Reviews),Private,Mumbai + 12 more,25,51-200 Employees (India)
1115,Pragya,3.0,(35 Reviews),NGO/NPO,"Gurgaon/Gurugram,Haryana + 5 more",27,11-50 Employees (India)
1116,iGlobsyn Technol...,3.4,(35 Reviews),Private,"Ahmedabad,Gujarat + 1 more",15,11-50 Employees (Global)
1117,Electronica Plas...,3.9,(35 Reviews),Private,Pune + 5 more,49,51-200 Employees (India)
1118,Inditrade Capita...,4.4,(35 Reviews),Public,"Mumbai,Maharashtra + 12 more",28,201-500 Employees (India)
1119,CGH Earth,4.2,(35 Reviews),Private,Kochi + 3 more,68,1k-5k Employees (India)
1120,Autolite (India),3.1,(35 Reviews),Public,"Jaipur,Rajasthan + 3 more",52,501-1k Employees (India)
1121,National Trust H...,4.1,(35 Reviews),Chennai + 7 more,27,51-200 Employees (India),
1122,Scooters India,4.6,(35 Reviews),Public,"Lucknow,Uttar Pradesh + 1 more",50,201-500 Employees (India)
1123,Neometrix Engine...,4.2,(35 Reviews),Private,"Noida,Uttar Pradesh",19,51-200 Employees (India)
1124,Ajmera Group Of ...,4.1,(35 Reviews),Mumbai + 1 more,42,501-1k Employees (Global),
1125,G.I. AUTO,3.7,(35 Reviews),Private,Bengaluru + 2 more,48,51-200 Employees (India)
1126,Sciative Solutio...,3.7,(35 Reviews),"Mumbai,Maharashtra + 1 more",7,11-50 Employees (India),
1127,AmpleLogic,4.2,(35 Reviews),Hyderabad,51-200 Employees (India),,
1128,Musafir.com,3.5,(35 Reviews),Private,"Mumbai,Maharashtra + 2 more",15,201-500 Employees (India)
1129,Doon Consulting,3.0,(35 Reviews),Gurgaon + 1 more,18,11-50 Employees (India),
1130,OneSavings Bank,3.7,(35 Reviews),"Chatham,Kent",36,,
1131,N K Buildcon,4.3,(35 Reviews),Private,"Jaipur,Rajasthan + 2 more",27,51-200 Employees (India)
1132,Simon Electrical...,4.5,(35 Reviews),Barcelona + 4 more,106,201-500 Employees (India),
1133,ABN AMRO BANK N....,4.0,(35 Reviews),Private,Amsterdam + 7 more,31,1k-5k Employees (India)
1134,New India Struct...,4.2,(35 Reviews),Private,"Delhi/NCR,Delhi + 5 more",31,51-200 Employees (India)
1135,D2c Insurance Br...,4.0,(35 Reviews),Private,New Delhi + 14 more,7,51-200 Employees (India)
1136,Seshaasai Busine...,4.0,(35 Reviews),Private,Mumbai + 7 more,29,51-200 Employees (India)
1137,DNV,3.9,(35 Reviews),Private,Pune + 9 more,11-50 Employees (Global),
1138,Scioinspire Cons...,3.8,(35 Reviews),11-50 Employees (India),,,
1139,Bfc Forex And Fi...,3.4,(35 Reviews),Private,Mumbai + 7 more,17,51-200 Employees (India)
1140,Karma Royal Grou...,4.0,(35 Reviews),Private,Jakarta + 6 more,51-200 Employees (Global),
1141,Finheal Finserve,3.3,(35 Reviews),51-200 Employees (Global),,,
1142,Geo Informatics ...,2.7,(34 Reviews),Ghaziabad + 2 more,19,51-200 Employees (India),
1143,Vichara Technolo...,3.4,(34 Reviews),Private,"Ridgewood,New Jersey + 1 more",21,51-200 Employees (India)
1144,Abhishek Industr...,4.2,(34 Reviews),Private,Ludhiana + 8 more,32,11-50 Employees (Global)
1145,Gruppo Banca Sel...,3.6,(34 Reviews),Private,"Chennai,Tamil Nadu",136,51-200 Employees (India)
1146,the Nainital Ban...,3.0,(34 Reviews),Public,Nainital + 9 more,100,501-1k Employees (India)
1147,Novigo Solutions,4.2,(34 Reviews),Private,"Dallas,Texas + 3 more",10,201-500 Employees (India)
1148,Zircon Technolog...,3.7,(34 Reviews),Dehradun + 3 more,23,51-200 Employees (India),
1149,Bureau of Indian...,4.1,(34 Reviews),Private,Chennai + 8 more,1k-5k Employees (India),
1150,WebMobril Techno...,4.3,(34 Reviews),Private,"Noida,Uttar Pradesh",8,11-50 Employees (India)
1151,QuickRide,2.9,(34 Reviews),Private,"Bangalore,Karnataka + 7 more",8,11-50 Employees (India)
1152,Basiz Fund Servi...,3.5,(34 Reviews),Private,"Chennai,Tamil Nadu + 1 more",16,51-200 Employees (India)
1153,I-DESIGN Enginee...,4.0,(34 Reviews),Public,Pune + 2 more,20,51-200 Employees (India)
1154,Xelpmoc Design &...,3.0,(34 Reviews),Private,Bangalore + 2 more,7,51-200 Employees (India)
1155,MoreVisas,2.7,(34 Reviews),Private,Hyderabad + 5 more,19,51-200 Employees (India)
1156,Ingenuity Gaming,3.5,(34 Reviews),Private,"Douglas,,Isle Of Man + 1 more",17,201-500 Employees (India)
1157,Televisory,2.3,(34 Reviews),Singapore,9,11-50 Employees (India),
1158,AMs Project Cons...,4.2,(34 Reviews),Private,Pune + 5 more,51-200 Employees (Global),
1159,Calpro Foods,3.5,(34 Reviews),Private,"New Delhi,Delhi",33,51-200 Employees (India)
1160,Juggat Pharma,4.4,(34 Reviews),Private,Bengaluru + 7 more,60,501-1k Employees (India)
1161,Wealth India Fin...,3.5,(34 Reviews),"Chennai,Tamil Nadu + 2 more",14,201-500 Employees (India),
1162,DE Shaw,3.9,(34 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",26,501-1k Employees (India)
1163,Mojj Engineering...,4.1,(34 Reviews),Pune + 1 more,36,51-200 Employees (India),
1164,VMS,4.0,(34 Reviews),Private,Vienna + 6 more,51-200 Employees (India),
1165,Chaitanya Projec...,4.1,(34 Reviews),Noida + 8 more,51-200 Employees (India),,
1166,Sridhar Insuranc...,3.8,(34 Reviews),Private,New Delhi + 1 more,19,11-50 Employees (India)
1167,Mathew Associate...,4.1,(34 Reviews),Private,Navi Mumbai,30,11-50 Employees (India)
1168,Patvin,3.9,(34 Reviews),Private,Mumbai + 2 more,51-200 Employees (India),
1169,Shield Autoglass,2.6,(34 Reviews),Private,Toronto + 8 more,45,11-50 Employees (India)
1170,Zircon Technolog...,3.7,(34 Reviews),Dehradun + 3 more,23,51-200 Employees (India),
1171,Shield Autoglass,2.6,(34 Reviews),Private,Toronto + 8 more,45,11-50 Employees (India)
1172,DE Shaw,3.9,(34 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",26,501-1k Employees (India)
1173,Asa Internationa...,3.2,(34 Reviews),Public,"Kolkata,West Bengal + 6 more",14,201-500 Employees (India)
1174,Up money,4.2,(34 Reviews),Ludhiana + 8 more,27,501-1k Employees (India),
1175,Esteem Projects,2.5,(34 Reviews),Private,"Noida,Uttar Pradesh + 4 more",28,51-200 Employees (India)
1176,Sutherland Mortg...,4.2,(33 Reviews),Private,Houston + 2 more,201-500 Employees (India),
1177,Nimap Infotech,4.0,(33 Reviews),Private,"Mumbai,Maharashtra + 1 more",10,11-50 Employees (India)
1178,J.J. Plastalloy,3.8,(33 Reviews),Private,Varanasi + 5 more,27,51-200 Employees (India)
1179,Mendine Pharmace...,4.7,(33 Reviews),Private,"Kolkata,West Bengal",85,51-200 Employees (India)
1180,BNC Power Projec...,3.6,(33 Reviews),Pune + 3 more,55,201-500 Employees (India),
1181,Dhathri Ayurveda,2.8,(33 Reviews),Private,Kochi + 7 more,19,201-500 Employees (India)
1182,Sm Finance,3.6,(33 Reviews),Public,"Kochi,Kerala + 7 more",26,51-200 Employees (India)
1183,Disha Microfin,3.7,(33 Reviews),Private,"Bangalore,Karnataka + 16 more",15,5k-10k Employees (Global)
1184,DNS BANK,4.1,(33 Reviews),Dombivli + 9 more,52,501-1k Employees (India),
1185,YMS Mobitech,1.6,(33 Reviews),"Noida,Uttar Pradesh + 10 more",17,1-10 Employees (India),
1186,AKS University,4.4,(33 Reviews),Private,"Satna,Madhya Pradesh + 3 more",11,201-500 Employees (India)
1187,Biz Secure Lab,2.5,(33 Reviews),Private,Pune,51-200 Employees (India),
1188,AUM Capital Mark...,4.2,(33 Reviews),Private,"Kolkata,West Bengal + 5 more",17,51-200 Employees (India)
1189,Sbi Commercial B...,3.6,(33 Reviews),Hyderabad/Secunderabad + 17 more,,,
1190,William O'Neil &...,4.0,(33 Reviews),Los Angeles,59,51-200 Employees (India),
1191,Travel Unravel H...,3.3,(33 Reviews),Private,London + 1 more,12,51-200 Employees (India)
1192,Equentis Wealth ...,3.1,(33 Reviews),Private,Mumbai + 2 more,13,51-200 Employees (India)
1193,Konkola Copper m...,4.5,(33 Reviews),Private,Chingola,23,10k-50k Employees (Global)
1194,Switchgear and C...,3.1,(33 Reviews),Bengaluru + 1 more,18,51-200 Employees (India),
1195,Flydocs India,3.7,(33 Reviews),Private,Tamworth,15,201-500 Employees (Global)
1196,NS Matrix Servic...,4.1,(33 Reviews),New Delhi,11,201-500 Employees (India),
1197,Greynium Informa...,4.0,(33 Reviews),Private,"Bangalore/Bengaluru,Karnataka",16,201-500 Employees (India)
1198,MK Fasteners,3.4,(33 Reviews),Private,Bengaluru + 1 more,61,201-500 Employees (India)
1199,Dreamline Techno...,2.6,(33 Reviews),Private,"Patna,Bihar + 1 more",10,11-50 Employees (India)
1200,BNC Power Projec...,3.6,(33 Reviews),Pune + 3 more,55,201-500 Employees (India),
1201,Greynium Informa...,4.0,(33 Reviews),Private,"Bangalore/Bengaluru,Karnataka",16,201-500 Employees (India)
1202,Dhathri Ayurveda,2.8,(33 Reviews),Private,Kochi + 7 more,19,201-500 Employees (India)
1203,NCH CORPORATION,4.3,(33 Reviews),Private,Irving + 6 more,103,51-200 Employees (India)
1204,Konkola Copper m...,4.5,(33 Reviews),Private,Chingola,23,10k-50k Employees (Global)
1205,Fasttrack Housin...,3.4,(33 Reviews),Private,Mumbai + 8 more,6,51-200 Employees (India)
1206,AUM Capital Mark...,4.2,(33 Reviews),Private,"Kolkata,West Bengal + 5 more",17,51-200 Employees (India)
1207,Namra Finance,4.2,(33 Reviews),Ahmedabad + 15 more,10,51-200 Employees (India),
1208,Equentis Wealth ...,3.1,(33 Reviews),Private,Mumbai + 2 more,13,51-200 Employees (India)
1209,DNS BANK,4.1,(33 Reviews),Dombivli + 9 more,52,501-1k Employees (India),
1210,Computer Consult...,3.9,(32 Reviews),Private,Culver + 21 more,37,51-200 Employees (India)
1211,OMVSAB IT Soluti...,4.5,(32 Reviews),Private,Pune,11-50 Employees (Global),
1212,Elbit Medical Di...,4.3,(32 Reviews),Private,Hyderabad + 1 more,27,201-500 Employees (India)
1213,SlicePay,4.5,(32 Reviews),Private,"Bangalore,Karnataka + 5 more",7,51-200 Employees (India)
1214,Smartlink Networ...,4.8,(32 Reviews),Private,Mumbai + 7 more,29,501-1k Employees (Global)
1215,Vy Systems,4.1,(32 Reviews),Private,"Santa Clara,CA",201-500 Employees (India),
1216,Severn Glocon Gr...,4.0,(32 Reviews),Private,"Gloucester,Gloucestershire + 3 more",61,201-500 Employees (India)
1217,IPA,3.7,(32 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",45,51-200 Employees (India)
1218,Accumax,3.9,(32 Reviews),Private,"Gandhinagar,Gujarat + 1 more",19,201-500 Employees (Global)
1219,Clairvolex,3.1,(32 Reviews),Private,Gurgaon + 2 more,16,51-200 Employees (India)
1220,Nikitha Build-Te...,3.3,(32 Reviews),Bengaluru,28,51-200 Employees (India),
1221,Cankids Kidscan,3.4,(32 Reviews),New Delhi + 3 more,18,201-500 Employees (India),
1222,Indian Pharmacop...,3.3,(32 Reviews),Ghaziabad + 4 more,13,51-200 Employees (India),
1223,Srex Power India,4.3,(32 Reviews),Private,Noida + 2 more,22,11-50 Employees (India)
1224,Treo Engineering,3.0,(32 Reviews),"Pune,Maharashtra + 3 more",13,51-200 Employees (India),
1225,Vasista Enterpri...,3.3,(32 Reviews),"Hyderabad,Telangana",9,51-200 Employees (India),
1226,Technosys Servic...,3.6,(32 Reviews),Lucknow + 1 more,51-200 Employees (India),,
1227,Shangrila Corpor...,2.5,(32 Reviews),Private,Mumbai + 5 more,22,11-50 Employees (India)
1228,Cravatex,4.0,(32 Reviews),Public,Mumbai + 5 more,71,501-1k Employees (Global)
1229,Everest Instrume...,3.9,(32 Reviews),Private,"Mehsana,Gujarat + 9 more",23,51-200 Employees (India)
1230,Attica G,2.9,(32 Reviews),Private,Bengaluru + 9 more,9,51-200 Employees (India)
1231,Elbit Medical Di...,4.3,(32 Reviews),Private,Hyderabad + 1 more,27,201-500 Employees (India)
1232,SlicePay,4.5,(32 Reviews),Private,"Bangalore,Karnataka + 5 more",7,51-200 Employees (India)
1233,Technosys Servic...,3.6,(32 Reviews),Lucknow + 1 more,51-200 Employees (India),,
1234,Shangrila Corpor...,2.5,(32 Reviews),Private,Mumbai + 5 more,22,11-50 Employees (India)
1235,Clairvolex,3.1,(32 Reviews),Private,Gurgaon + 2 more,16,51-200 Employees (India)
1236,Everest Instrume...,3.9,(32 Reviews),Private,"Mehsana,Gujarat + 9 more",23,51-200 Employees (India)
1237,Cravatex,4.0,(32 Reviews),Public,Mumbai + 5 more,71,501-1k Employees (Global)
1238,Gumpro Drilling ...,3.9,(32 Reviews),Mumbai + 2 more,51-200 Employees (India),,
1239,Indian Pharmacop...,3.3,(32 Reviews),Ghaziabad + 4 more,13,51-200 Employees (India),
1240,BBD University,3.7,(32 Reviews),Lucknow + 1 more,12,10k-50k Employees (Global),
1241,42Gears Mobility...,4.3,(32 Reviews),Private,"Fremont,California + 2 more",13,51-200 Employees (India)
1242,Computer Consult...,3.9,(32 Reviews),Private,Culver + 21 more,37,51-200 Employees (India)
1243,Acquisory Consul...,3.6,(32 Reviews),LLP,Noida + 2 more,12,51-200 Employees (India)
1244,Amc Cookware,4.1,(32 Reviews),Private,Risch-Rotkreuz + 8 more,59,11-50 Employees (India)
1245,IPA,3.7,(32 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",45,51-200 Employees (India)
1246,Medicare Insuran...,4.6,(32 Reviews),"Lucknow,Uttar Pradesh + 8 more",5,201-500 Employees (India),
1247,Indiabulls Finan...,3.6,(32 Reviews),Mumbai + 12 more,,,
1248,INDMoney,3.6,(32 Reviews),"Gurgaon,Haryana + 2 more",4,201-500 Employees (Global),
1249,KF Bioplants,3.5,(31 Reviews),Private,Pune,25,501-1k Employees (India)
1250,Fintellix Soluti...,3.9,(31 Reviews),Private,"Bangalore,Karnataka",16,51-200 Employees (India)
1251,FRR Forex,3.7,(31 Reviews),Private,Mumbai + 5 more,13,201-500 Employees (Global)
1252,INOXCVA,4.5,(31 Reviews),Private,Vadodara + 3 more,30,1k-5k Employees (India)
1253,Laguna Clothing,2.9,(31 Reviews),Private,Bengaluru + 1 more,16,501-1k Employees (India)
1254,Chemmanur Intern...,2.8,(31 Reviews),Kozhikode + 12 more,,,
1255,Arcotech,2.5,(31 Reviews),Public,"Delhi/NCR,New Delhi + 1 more",41,1k-5k Employees (India)
1256,Parekhplast,4.7,(31 Reviews),Mumbai + 4 more,41,501-1k Employees (India),
1257,Muthoot Securiti...,3.2,(31 Reviews),Public,"Kochi/Cochin,Kerala + 13 more",14,201-500 Employees (India)
1258,AMEX,3.9,(31 Reviews),Public,"New York,New York + 5 more",172,50k-1 Lakh Employees (India)
1259,Wevin,4.4,(31 Reviews),Bengaluru,28,51-200 Employees (India),
1260,Cure Surgicals,2.8,(31 Reviews),Private,"Delhi/NCR,New Delhi + 2 more",21,51-200 Employees (India)
1261,Hi-Tech Competen...,4.0,(31 Reviews),Alwar + 7 more,29,,
1262,KJ System,4.0,(31 Reviews),Vijayawada,14,201-500 Employees (India),
1263,Talwandi Sabo Po...,3.8,(31 Reviews),Public,Mansa + 6 more,15,1k-5k Employees (India)
1264,Cian Health Care,3.9,(31 Reviews),Pune + 4 more,19,51-200 Employees (India),
1265,Shri Dinesh Mill...,2.9,(31 Reviews),Public,Vadodara + 1 more,501-1k Employees (India),
1266,Jhaveri Securiti...,4.3,(31 Reviews),Public,"Vadodara/Baroda,Gujarat + 1 more",35,201-500 Employees (India)
1267,Eimco Elecon (In...,2.8,(31 Reviews),Public,"Vidyanagar,Gujarat + 2 more",48,51-200 Employees (India)
1268,FMI,3.9,(31 Reviews),Private,501-1k Employees (India),,
1269,Epikso India,4.4,(31 Reviews),Private,"Pleasant Hill,California",7,51-200 Employees (India)
1270,Numberz,4.7,(31 Reviews),Private,"Gurgaon,Haryana + 1 more",8,11-50 Employees (India)
1271,J R Laddha Finan...,3.1,(31 Reviews),Mumbai + 3 more,38,51-200 Employees (Global),
1272,Khush Housing Fi...,4.2,(31 Reviews),Private,Mumbai + 6 more,8,51-200 Employees (India)
1273,Elite Wealth Adv...,3.9,(31 Reviews),Private,"Delhi/NCR,New Delhi",32,201-500 Employees (India)
1274,Shelf Drilling,4.4,(31 Reviews),Dubai + 3 more,10,501-1k Employees (India),
1275,Insights Success,3.8,(31 Reviews),Private,Dublin,201-500 Employees (India),
1276,Vahdam Teas,4.0,(31 Reviews),"Noida,Uttar Pradesh + 1 more",8,11-50 Employees (India),
1277,Nascent Info Tec...,3.7,(31 Reviews),Private,"Ahmedabad,Gujarat + 2 more",15,51-200 Employees (India)
1278,Lowe Lintas,3.9,(31 Reviews),Private,Mumbai + 3 more,53,501-1k Employees (Global)
1279,Jumbo Bags,4.4,(31 Reviews),Public,"Chennai,Tamil Nadu + 3 more",32,201-500 Employees (India)
1280,CredenTek Softwa...,3.3,(31 Reviews),Pune + 1 more,14,51-200 Employees (India),
1281,Amar Tea,3.9,(31 Reviews),Private,"Mumbai,Maharashtra + 2 more",89,501-1k Employees (India)
1282,Paragon Apparel,3.6,(31 Reviews),Noida + 1 more,23,51-200 Employees (India),
1283,Apollo Computer ...,4.1,(31 Reviews),Private,Chennai + 10 more,21,11-50 Employees (India)
1284,CapitalOne,4.3,(31 Reviews),Private,McLean + 7 more,28,51-200 Employees (India)
1285,Anyoption,4.1,(31 Reviews),Private,Nicosia + 17 more,14,1-10 Employees (India)
1286,National Institu...,3.6,(31 Reviews),Private,"Ahmedabad,Gujarat + 5 more",61,51-200 Employees (India)
1287,VLS Consulting,3.0,(31 Reviews),"Chantilly,Virginia + 3 more",27,51-200 Employees (India),
1288,Moral Group of C...,3.6,(31 Reviews),Public,Lucknow + 8 more,15,51-200 Employees (India)
1289,Millennium Hotel...,4.3,(31 Reviews),Private,London + 5 more,27,10k-50k Employees (Global)
1290,Finwizz Financia...,3.4,(31 Reviews),Mumbai + 7 more,51-200 Employees (India),,
1291,CSL Finance,4.4,(31 Reviews),Public,"Noida,Uttar Pradesh + 9 more",30,51-200 Employees (India)
1292,India Forge & Dr...,4.6,(30 Reviews),Private,Chennai + 4 more,62,501-1k Employees (India)
1293,FinEdge,3.5,(30 Reviews),Private,Gurugram + 1 more,27,51-200 Employees (India)
1294,Sunshot Technolo...,4.0,(30 Reviews),Private,"Pune,Maharashtra",12,51-200 Employees (India)
1295,Centre for Envir...,4.0,(30 Reviews),Public,Ahmedabad + 6 more,38,201-500 Employees (India)
1296,LTA School Of Be...,4.4,(30 Reviews),Private,Mumbai + 7 more,17,51-200 Employees (India)
1297,Credit Sudhaar,2.6,(30 Reviews),Private,"Mumbai,Maharashtra + 1 more",9,51-200 Employees (India)
1298,COASTAL GUJARAT ...,4.2,(30 Reviews),Private,Mumbai + 5 more,15,201-500 Employees (Global)
1299,SRI Energy,4.2,(30 Reviews),Private,Sugar Land + 2 more,76,1k-5k Employees (Global)
1300,Markable Solutio...,4.5,(30 Reviews),Saratoga,,,
1301,Dinamalar,4.4,(30 Reviews),Private,Chennai + 5 more,71,201-500 Employees (Global)
1302,DOHA BROKERAGE A...,4.0,(30 Reviews),"Kochi,kerala + 10 more",51-200 Employees (India),,
1303,Suvidhaa Infoser...,3.4,(30 Reviews),Private,"Mumbai,Maharashtra + 4 more",15,11-50 Employees (India)
1304,Pyramid IT Solut...,4.2,(30 Reviews),Hyderabad + 6 more,17,11-50 Employees (India),
1305,Choice Chemtech,2.3,(30 Reviews),Noida,37,51-200 Employees (India),
1306,Sitics Logistic ...,3.3,(30 Reviews),Palakkad + 11 more,15,5k-10k Employees (Global),
1307,Immply,4.4,(30 Reviews),Private,Pune,201-500 Employees (India),
1308,Presidency Colle...,4.1,(30 Reviews),Bengaluru,21,11-50 Employees (India),
1309,Arth Micro Finan...,3.6,(30 Reviews),Private,Jaipur + 12 more,14,51-200 Employees (India)
1310,SI-UK,3.4,(30 Reviews),"London,London + 8 more",16,51-200 Employees (India),
1311,SolCen Technolog...,4.1,(30 Reviews),Private,"Bangalore/Bengaluru,Karnataka",6,201-500 Employees (India)
1312,GainInsights Sol...,4.1,(30 Reviews),Private,Bengaluru + 2 more,10,51-200 Employees (India)
1313,Unison Insurance...,4.3,(30 Reviews),Private,"Vadodara/Baroda,Gujarat + 8 more",24,51-200 Employees (India)
1314,Ab Insurance Bro...,3.2,(30 Reviews),Private,Kolkata + 12 more,13,11-50 Employees (India)
1315,Mopani Copper Mi...,4.6,(30 Reviews),Private,Kitwe,5k-10k Employees (Global),
1316,Centrum Group,3.9,(30 Reviews),Private,"Mumbai,Maharashtra + 7 more",25,1k-5k Employees (India)
1317,Avitech Nutritio...,4.4,(30 Reviews),Gurgaon,51-200 Employees (India),,
1318,Mahavir Group,3.5,(30 Reviews),Hyderabad + 5 more,24,,
1319,Itsy Bitsy,3.1,(30 Reviews),Bengaluru + 7 more,11-50 Employees (India),,
1320,Knowcraft Analyt...,3.6,(30 Reviews),Ahmedabad + 3 more,10,51-200 Employees (India),
1321,Infra Support En...,3.6,(30 Reviews),Private,Bengaluru/Bangalore + 2 more,51-200 Employees (India),
1322,Rama Phosphates,4.0,(30 Reviews),Public,Mumbai + 2 more,501-1k Employees (India),
1323,Sahara India Lif...,4.0,(30 Reviews),Lucknow + 10 more,18,201-500 Employees (India),
1324,Winsome Yarns,2.7,(30 Reviews),Public,"Chandigarh,Chandigarh + 2 more",32,201-500 Employees (India)
1325,GK Power Experti...,3.3,(30 Reviews),Private,Chennai + 1 more,15,51-200 Employees (India)
1326,Mercury Travels,3.3,(30 Reviews),Private,Mumbai + 7 more,74,201-500 Employees (India)
1327,Research and Ran...,3.7,(30 Reviews),Mumbai + 1 more,13,51-200 Employees (Global),
1328,Transworld Syste...,4.0,(30 Reviews),"Santa Rosa,California + 2 more",201-500 Employees (India),,
1329,MoneyTap,3.8,(30 Reviews),"Bangalore,Karnataka + 5 more",7,51-200 Employees (India),
1330,Futran Solutions,4.2,(30 Reviews),Edison + 1 more,12,51-200 Employees (India),
1331,Abhikalpan Archi...,3.0,(30 Reviews),Private,Mumbai + 4 more,51-200 Employees (Global),
1332,Bajaj Group,4.0,(10.1k Reviews),"Mumbai,Maharashtra + 9 more",96,10k-50k Employees (India),
1333,Lumbini Elite So...,3.6,(286 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 3 more",9,51-200 Employees (India)
1334,Navia Markets,3.6,(29 Reviews),Private,"Chennai,Tamil Nadu",39,51-200 Employees (India)
1335,Clearing Corpora...,4.0,(29 Reviews),Private,Mumbai + 1 more,21,501-1k Employees (India)
1336,Karvy Comtrade,4.6,(29 Reviews),Private,Hyderabad + 12 more,17,
1337,Religare Wellnes...,4.7,(29 Reviews),Private,New Delhi + 6 more,16,1k-5k Employees (Global)
1338,Provimi Animal N...,4.4,(29 Reviews),Private,Bengaluru + 12 more,39,501-1k Employees (India)
1339,SK Infotech,3.2,(29 Reviews),Private,Pune + 9 more,20,11-50 Employees (Global)
1340,Real Team System...,4.1,(29 Reviews),Private,Mumbai,51-200 Employees (India),
1341,Ask Me,3.8,(29 Reviews),Private,Gurgaon + 7 more,36,201-500 Employees (Global)
1342,Idom,3.9,(29 Reviews),Private,Bilbao,10,1k-5k Employees (Global)
1343,A&O Realty,3.4,(29 Reviews),Mumbai + 2 more,9,,
1344,Time Legend It A...,3.3,(29 Reviews),11-50 Employees (India),,,
1345,Prasad Seeds,3.8,(29 Reviews),Private,"Seethariguda,Telangana + 2 more",44,51-200 Employees (India)
1346,Vydehi School of...,3.7,(29 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",13,11-50 Employees (India)
1347,Kisan Network,3.0,(29 Reviews),Private,"Delhi,NCT + 6 more",7,11-50 Employees (India)
1348,Geolife,4.1,(29 Reviews),Private,Mumbai + 5 more,49,201-500 Employees (India)
1349,Hemair Systems,3.6,(29 Reviews),"Hyderabad/Secunderabad,Telangana + 3 more",26,51-200 Employees (India),
1350,Karvy Comtrade,4.6,(29 Reviews),Private,Hyderabad + 12 more,17,
1351,Lykis,3.6,(29 Reviews),Public,"Mumbai,Maharashtra + 1 more",38,51-200 Employees (India)
1352,HAZEL MERCANTILE,4.8,(29 Reviews),Public,Mumbai + 5 more,26,201-500 Employees (India)
1353,Vishal Surgical ...,4.1,(29 Reviews),Chennai + 5 more,18,51-200 Employees (India),
1354,Idom,3.9,(29 Reviews),Private,Bilbao,10,1k-5k Employees (Global)
1355,Prasad Seeds,3.8,(29 Reviews),Private,"Seethariguda,Telangana + 2 more",44,51-200 Employees (India)
1356,Vydehi School of...,3.7,(29 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",13,11-50 Employees (India)
1357,Kisan Network,3.0,(29 Reviews),Private,"Delhi,NCT + 6 more",7,11-50 Employees (India)
1358,A&O Realty,3.4,(29 Reviews),Mumbai + 2 more,9,,
1359,Alliance Insuran...,3.2,(29 Reviews),Private,Mumbai + 8 more,201-500 Employees (India),
1360,50 Hertz,1.7,(29 Reviews),Private,"New Delhi,Delhi",10,11-50 Employees (India)
1361,Manohar Lal Jewe...,3.9,(29 Reviews),Private,New Delhi + 3 more,92,11-50 Employees (India)
1362,Hemair Systems,3.6,(29 Reviews),"Hyderabad/Secunderabad,Telangana + 3 more",26,51-200 Employees (India),
1363,The Waxpol Indus...,3.8,(29 Reviews),Private,Kolkata + 5 more,72,1-10 Employees (India)
1364,Sarc Associates,4.3,(29 Reviews),Private,New Delhi + 4 more,201-500 Employees (Global),
1365,Dmi Finance,3.9,(29 Reviews),Private,"Delhi,NCT + 3 more",14,501-1k Employees (India)
1366,Rattanindia Fina...,3.1,(29 Reviews),Private,"Delhi/NCR,Delhi + 2 more",5,51-200 Employees (India)
1367,Centurion Bank o...,5.0,(29 Reviews),Public,Mumbai + 8 more,28,1-10 Employees (India)
